text,label
"Urgent: Your account has been suspended. Click here to verify your password immediately: http://secure-login-alert.com",1
"Dear customer, confirm your bank details now to avoid account closure.",1
"You won a free iPhone. Claim your prize today at http://bit.ly/freegift",1
"Security alert! Reset your password now or lose access.",1
"Invoice overdue. Pay immediately using the link below.",1
"Your mailbox storage is full. Login to keep your account active.",1
"We detected unusual activity. Verify your identity within 24 hours.",1
"Important notice: update your payment details to prevent service interruption.",1
"Click this secure link to unlock your account now.",1
"Final warning! Your account will be terminated unless you confirm now.",1
"Team meeting moved to 2pm tomorrow in Room B.",0
"Please find attached the project report for review.",0
"Lunch at 1pm today? Let me know.",0
"Your order has been dispatched and will arrive on Friday.",0
"Reminder: submit your coursework by 4pm on Monday.",0
"Can we reschedule our call to next week?",0
"Here is the GitHub link for the latest build.",0
"The library will be closed on Sunday due to maintenance.",0
"Thank you for your payment. Your receipt is attached.",0
"Please review the meeting notes before the client call.",0
"Verify your login now to avoid suspension http://192.168.0.1/security",1
"Update your account information immediately to continue using the service.",1
"Your tax refund is waiting. Submit details to claim it today.",1
"Account verification required. Failure to respond will lock your profile.",1
"We need you to confirm your banking details right now.",1
"Join us for coffee after class.",0
"The seminar slides are available on Moodle.",0
"Your parcel is ready for collection at the local store.",0
"Please approve the annual leave request when you have time.",0
"Backup completed successfully at 03:00 this morning.",0
